any;àmbit territorial de planificació;branques d'activitat;concepte;estat;valor
2012;Metropolità;hostaleria;valor afegit brut (milions €);;6937,5
2012;Metropolità;activitats financeres i d'assegurances;valor afegit brut (milions €);;5682,3
2012;Metropolità;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;29366,2
2012;Metropolità;administració pública i altres serveis;valor afegit brut (milions €);;25638,5
2012;Metropolità;total;valor afegit brut (milions €);;100922,4
2012;Comarques Gironines;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;2467,3
2012;Comarques Gironines;transport, informació i comunicacions;valor afegit brut (milions €);;773,1
2012;Comarques Gironines;hostaleria;valor afegit brut (milions €);;1247,5
2012;Comarques Gironines;activitats financeres i d'assegurances;valor afegit brut (milions €);;487,3
2012;Comarques Gironines;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2935,6
2012;Comarques Gironines;administració pública i altres serveis;valor afegit brut (milions €);;3132,7
2012;Comarques Gironines;total;valor afegit brut (milions €);;11043,5
2012;Camp de Tarragona;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1417
2012;Camp de Tarragona;transport, informació i comunicacions;valor afegit brut (milions €);;964,5
2012;Camp de Tarragona;hostaleria;valor afegit brut (milions €);;840,9
2012;Camp de Tarragona;activitats financeres i d'assegurances;valor afegit brut (milions €);;309,4
2012;Camp de Tarragona;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2154,5
2012;Camp de Tarragona;administració pública i altres serveis;valor afegit brut (milions €);;2607,5
2012;Camp de Tarragona;total;valor afegit brut (milions €);;8293,8
2012;Terres de l'Ebre;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;481,2
2012;Terres de l'Ebre;transport, informació i comunicacions;valor afegit brut (milions €);;143,9
2012;Terres de l'Ebre;hostaleria;valor afegit brut (milions €);;147
2012;Terres de l'Ebre;activitats financeres i d'assegurances;valor afegit brut (milions €);;94,7
2012;Terres de l'Ebre;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;492
2012;Terres de l'Ebre;administració pública i altres serveis;valor afegit brut (milions €);;689,1
2012;Terres de l'Ebre;total;valor afegit brut (milions €);;2047,9
2012;Ponent;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1290,1
2012;Ponent;transport, informació i comunicacions;valor afegit brut (milions €);;498,2
2012;Ponent;hostaleria;valor afegit brut (milions €);;271,8
2012;Ponent;activitats financeres i d'assegurances;valor afegit brut (milions €);;207,9
2012;Ponent;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1164,7
2012;Ponent;administració pública i altres serveis;valor afegit brut (milions €);;1774,2
2012;Ponent;total;valor afegit brut (milions €);;5207
2012;Comarques Centrals;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1218,8
2012;Comarques Centrals;transport, informació i comunicacions;valor afegit brut (milions €);;448,4
2012;Comarques Centrals;hostaleria;valor afegit brut (milions €);;307,2
2012;Comarques Centrals;activitats financeres i d'assegurances;valor afegit brut (milions €);;219,8
2012;Comarques Centrals;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1592,9
2012;Comarques Centrals;administració pública i altres serveis;valor afegit brut (milions €);;1485,1
2012;Comarques Centrals;total;valor afegit brut (milions €);;5272,2
2012;Alt Pirineu i Aran;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;181,5
2012;Alt Pirineu i Aran;transport, informació i comunicacions;valor afegit brut (milions €);;65,4
2012;Alt Pirineu i Aran;hostaleria;valor afegit brut (milions €);;204,3
2012;Alt Pirineu i Aran;activitats financeres i d'assegurances;valor afegit brut (milions €);;31,9
2012;Alt Pirineu i Aran;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;279,4
2012;Alt Pirineu i Aran;administració pública i altres serveis;valor afegit brut (milions €);;367,5
2012;Alt Pirineu i Aran;total;valor afegit brut (milions €);;1129,9
2012;Penedès;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1209,7
2012;Penedès;transport, informació i comunicacions;valor afegit brut (milions €);;404,1
2012;Penedès;hostaleria;valor afegit brut (milions €);;461,6
2012;Penedès;activitats financeres i d'assegurances;valor afegit brut (milions €);;252,4
2012;Penedès;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1873
2012;Penedès;administració pública i altres serveis;valor afegit brut (milions €);;1382,8
2012;Penedès;total;valor afegit brut (milions €);;5583,5
2012;Catalunya;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;28632,9
2012;Catalunya;transport, informació i comunicacions;valor afegit brut (milions €);;16228,3
2012;Catalunya;hostaleria;valor afegit brut (milions €);;10417,7
2012;Catalunya;activitats financeres i d'assegurances;valor afegit brut (milions €);;7285,6
2012;Catalunya;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;39858,2
2012;Catalunya;administració pública i altres serveis;valor afegit brut (milions €);;37077,4
2012;Catalunya;total;valor afegit brut (milions €);;139500,1
2013;Metropolità;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;20479,7
2013;Metropolità;transport, informació i comunicacions;valor afegit brut (milions €);;12699,4
