any;àmbit territorial de planificació;branques d'activitat;concepte;estat;valor
2016;Comarques Gironines;activitats financeres i d'assegurances;valor afegit brut (milions €);;428,7
2016;Comarques Gironines;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;3336
2016;Comarques Gironines;administració pública i altres serveis;valor afegit brut (milions €);;3615,1
2016;Comarques Gironines;total;valor afegit brut (milions €);;12094,6
2016;Camp de Tarragona;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1434,3
2016;Camp de Tarragona;transport, informació i comunicacions;valor afegit brut (milions €);;946,6
2016;Camp de Tarragona;hostaleria;valor afegit brut (milions €);;1003,7
2016;Camp de Tarragona;activitats financeres i d'assegurances;valor afegit brut (milions €);;268,3
2016;Camp de Tarragona;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2154,2
2016;Camp de Tarragona;administració pública i altres serveis;valor afegit brut (milions €);;2934,2
2016;Camp de Tarragona;total;valor afegit brut (milions €);;8741,2
2016;Terres de l'Ebre;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;461
2016;Terres de l'Ebre;transport, informació i comunicacions;valor afegit brut (milions €);;172,7
2016;Terres de l'Ebre;hostaleria;valor afegit brut (milions €);;187,1
2016;Terres de l'Ebre;activitats financeres i d'assegurances;valor afegit brut (milions €);;105,8
2016;Terres de l'Ebre;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;487,4
2016;Terres de l'Ebre;administració pública i altres serveis;valor afegit brut (milions €);;755,5
2016;Terres de l'Ebre;total;valor afegit brut (milions €);;2169,5
2016;Ponent;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1322,7
2016;Ponent;transport, informació i comunicacions;valor afegit brut (milions €);;560,8
2016;Ponent;hostaleria;valor afegit brut (milions €);;374,1
2016;Ponent;activitats financeres i d'assegurances;valor afegit brut (milions €);;220,1
2016;Ponent;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1290,4
2016;Ponent;administració pública i altres serveis;valor afegit brut (milions €);;1882,5
2016;Ponent;total;valor afegit brut (milions €);;5650,6
2016;Comarques Centrals;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1252,5
2016;Comarques Centrals;transport, informació i comunicacions;valor afegit brut (milions €);;434,1
2016;Comarques Centrals;hostaleria;valor afegit brut (milions €);;409,3
2016;Comarques Centrals;activitats financeres i d'assegurances;valor afegit brut (milions €);;310,1
2016;Comarques Centrals;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1704,5
2016;Comarques Centrals;administració pública i altres serveis;valor afegit brut (milions €);;1620,8
2016;Comarques Centrals;total;valor afegit brut (milions €);;5731,2
2016;Alt Pirineu i Aran;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;177,2
2016;Alt Pirineu i Aran;transport, informació i comunicacions;valor afegit brut (milions €);;66,8
2016;Alt Pirineu i Aran;hostaleria;valor afegit brut (milions €);;257,2
2016;Alt Pirineu i Aran;activitats financeres i d'assegurances;valor afegit brut (milions €);;43,7
2016;Alt Pirineu i Aran;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;287,1
2016;Alt Pirineu i Aran;administració pública i altres serveis;valor afegit brut (milions €);;396,4
2016;Alt Pirineu i Aran;total;valor afegit brut (milions €);;1228,4
2016;Penedès;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1146,5
2016;Penedès;transport, informació i comunicacions;valor afegit brut (milions €);;458,1
2016;Penedès;hostaleria;valor afegit brut (milions €);;586,4
2016;Penedès;activitats financeres i d'assegurances;valor afegit brut (milions €);;278,4
2016;Penedès;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1882,7
2016;Penedès;administració pública i altres serveis;valor afegit brut (milions €);;1598,6
2016;Penedès;total;valor afegit brut (milions €);;5950,6
2016;Catalunya;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;29174,2
2016;Catalunya;transport, informació i comunicacions;valor afegit brut (milions €);;17036,3
2016;Catalunya;hostaleria;valor afegit brut (milions €);;13076,1
2016;Catalunya;activitats financeres i d'assegurances;valor afegit brut (milions €);;6855,7
2016;Catalunya;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;44210
2016;Catalunya;administració pública i altres serveis;valor afegit brut (milions €);;41316,5
2016;Catalunya;total;valor afegit brut (milions €);;151668,9
2017;Metropolità;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;21607,2
2017;Metropolità;transport, informació i comunicacions;valor afegit brut (milions €);;14863,6
2017;Metropolità;hostaleria;valor afegit brut (milions €);;9323
2017;Metropolità;activitats financeres i d'assegurances;valor afegit brut (milions €);;5203
2017;Metropolità;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;34686,2
2017;Metropolità;administració pública i altres serveis;valor afegit brut (milions €);;29121,8
2017;Metropolità;total;valor afegit brut (milions €);;114804,8
2017;Comarques Gironines;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;2426,7
2017;Comarques Gironines;transport, informació i comunicacions;valor afegit brut (milions €);;891,8
2017;Comarques Gironines;hostaleria;valor afegit brut (milions €);;1694,4
2017;Comarques Gironines;activitats financeres i d'assegurances;valor afegit brut (milions €);;445,2
2017;Comarques Gironines;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;3253,9
2017;Comarques Gironines;administració pública i altres serveis;valor afegit brut (milions €);;3774,3
2017;Comarques Gironines;total;valor afegit brut (milions €);;12486,4
2017;Camp de Tarragona;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1499,7
2017;Camp de Tarragona;transport, informació i comunicacions;valor afegit brut (milions €);;862,9
2017;Camp de Tarragona;hostaleria;valor afegit brut (milions €);;1135,5
2017;Camp de Tarragona;activitats financeres i d'assegurances;valor afegit brut (milions €);;283,8
2017;Camp de Tarragona;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2233,9
2017;Camp de Tarragona;administració pública i altres serveis;valor afegit brut (milions €);;2990,4
2017;Camp de Tarragona;total;valor afegit brut (milions €);;9006,2
2017;Terres de l'Ebre;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;474
2017;Terres de l'Ebre;transport, informació i comunicacions;valor afegit brut (milions €);;182,5
2017;Terres de l'Ebre;hostaleria;valor afegit brut (milions €);;211,2
2017;Terres de l'Ebre;activitats financeres i d'assegurances;valor afegit brut (milions €);;111,1
2017;Terres de l'Ebre;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;519,3
2017;Terres de l'Ebre;administració pública i altres serveis;valor afegit brut (milions €);;758,7
2017;Terres de l'Ebre;total;valor afegit brut (milions €);;2256,8
2017;Ponent;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1351,8
2017;Ponent;transport, informació i comunicacions;valor afegit brut (milions €);;619,6
2017;Ponent;hostaleria;valor afegit brut (milions €);;411,5
2017;Ponent;activitats financeres i d'assegurances;valor afegit brut (milions €);;230,2
2017;Ponent;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1296,2
2017;Ponent;administració pública i altres serveis;valor afegit brut (milions €);;1978,4
2017;Ponent;total;valor afegit brut (milions €);;5887,7
2017;Comarques Centrals;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1279,6
2017;Comarques Centrals;transport, informació i comunicacions;valor afegit brut (milions €);;456,3
2017;Comarques Centrals;hostaleria;valor afegit brut (milions €);;425,2
2017;Comarques Centrals;activitats financeres i d'assegurances;valor afegit brut (milions €);;317,7
2017;Comarques Centrals;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1754,4
2017;Comarques Centrals;administració pública i altres serveis;valor afegit brut (milions €);;1814,5
2017;Comarques Centrals;total;valor afegit brut (milions €);;6047,5
2017;Alt Pirineu i Aran;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;178
2017;Alt Pirineu i Aran;transport, informació i comunicacions;valor afegit brut (milions €);;68,2
2017;Alt Pirineu i Aran;hostaleria;valor afegit brut (milions €);;288,6
2017;Alt Pirineu i Aran;activitats financeres i d'assegurances;valor afegit brut (milions €);;46,7
2017;Alt Pirineu i Aran;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;294,1
2017;Alt Pirineu i Aran;administració pública i altres serveis;valor afegit brut (milions €);;389,5
2017;Alt Pirineu i Aran;total;valor afegit brut (milions €);;1265,1
2017;Penedès;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1193,9
2017;Penedès;transport, informació i comunicacions;valor afegit brut (milions €);;469,3
2017;Penedès;hostaleria;valor afegit brut (milions €);;655,8
2017;Penedès;activitats financeres i d'assegurances;valor afegit brut (milions €);;291,1
2017;Penedès;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1993,9
2017;Penedès;administració pública i altres serveis;valor afegit brut (milions €);;1641,7
2017;Penedès;total;valor afegit brut (milions €);;6245,6
2017;Catalunya;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;30011
2017;Catalunya;transport, informació i comunicacions;valor afegit brut (milions €);;18414,2
2017;Catalunya;hostaleria;valor afegit brut (milions €);;14145,2
2017;Catalunya;activitats financeres i d'assegurances;valor afegit brut (milions €);;6928,8
2017;Catalunya;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;46031,8
2017;Catalunya;administració pública i altres serveis;valor afegit brut (milions €);;42469,2
2017;Catalunya;total;valor afegit brut (milions €);;158000,1
2018;Metropolità;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;22175,3
2018;Metropolità;transport, informació i comunicacions;valor afegit brut (milions €);;15416,1
2018;Metropolità;hostaleria;valor afegit brut (milions €);;9443,1
2018;Metropolità;activitats financeres i d'assegurances;valor afegit brut (milions €);;5750
2018;Metropolità;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;37104,3
2018;Metropolità;administració pública i altres serveis;valor afegit brut (milions €);;30319,3
2018;Metropolità;total;valor afegit brut (milions €);;120208,1
2018;Comarques Gironines;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;2578,2
2018;Comarques Gironines;transport, informació i comunicacions;valor afegit brut (milions €);;914,7
2018;Comarques Gironines;hostaleria;valor afegit brut (milions €);;1760,9
2018;Comarques Gironines;activitats financeres i d'assegurances;valor afegit brut (milions €);;471,5
2018;Comarques Gironines;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;3345,2
2018;Comarques Gironines;administració pública i altres serveis;valor afegit brut (milions €);;3920,8
2018;Comarques Gironines;total;valor afegit brut (milions €);;12991,3
2018;Camp de Tarragona;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1496,6
2018;Camp de Tarragona;transport, informació i comunicacions;valor afegit brut (milions €);;889,4
2018;Camp de Tarragona;hostaleria;valor afegit brut (milions €);;1156,3
2018;Camp de Tarragona;activitats financeres i d'assegurances;valor afegit brut (milions €);;297
2018;Camp de Tarragona;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2297,4
2018;Camp de Tarragona;administració pública i altres serveis;valor afegit brut (milions €);;3134
2018;Camp de Tarragona;total;valor afegit brut (milions €);;9270,7
2018;Terres de l'Ebre;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;484,2
2018;Terres de l'Ebre;transport, informació i comunicacions;valor afegit brut (milions €);;173,6
2018;Terres de l'Ebre;hostaleria;valor afegit brut (milions €);;216
2018;Terres de l'Ebre;activitats financeres i d'assegurances;valor afegit brut (milions €);;111,2
2018;Terres de l'Ebre;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;520,9
2018;Terres de l'Ebre;administració pública i altres serveis;valor afegit brut (milions €);;796,8
2018;Terres de l'Ebre;total;valor afegit brut (milions €);;2302,6
2018;Ponent;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1399,6
2018;Ponent;transport, informació i comunicacions;valor afegit brut (milions €);;582,9
2018;Ponent;hostaleria;valor afegit brut (milions €);;489
2018;Ponent;activitats financeres i d'assegurances;valor afegit brut (milions €);;236,7
2018;Ponent;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1308,6
2018;Ponent;administració pública i altres serveis;valor afegit brut (milions €);;2062,2
2018;Ponent;total;valor afegit brut (milions €);;6079
2018;Comarques Centrals;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1304,4
2018;Comarques Centrals;transport, informació i comunicacions;valor afegit brut (milions €);;502,5
2018;Comarques Centrals;hostaleria;valor afegit brut (milions €);;436,2
2018;Comarques Centrals;activitats financeres i d'assegurances;valor afegit brut (milions €);;343,7
2018;Comarques Centrals;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1804,2
2018;Comarques Centrals;administració pública i altres serveis;valor afegit brut (milions €);;1824,4
2018;Comarques Centrals;total;valor afegit brut (milions €);;6215,4
2018;Alt Pirineu i Aran;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;186,9
2018;Alt Pirineu i Aran;transport, informació i comunicacions;valor afegit brut (milions €);;74,4
2018;Alt Pirineu i Aran;hostaleria;valor afegit brut (milions €);;293,5
2018;Alt Pirineu i Aran;activitats financeres i d'assegurances;valor afegit brut (milions €);;51,1
2018;Alt Pirineu i Aran;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;299,6
2018;Alt Pirineu i Aran;administració pública i altres serveis;valor afegit brut (milions €);;411,9
2018;Alt Pirineu i Aran;total;valor afegit brut (milions €);;1317,4
2018;Penedès;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1252,3
2018;Penedès;transport, informació i comunicacions;valor afegit brut (milions €);;355,6
2018;Penedès;hostaleria;valor afegit brut (milions €);;665,3
2018;Penedès;activitats financeres i d'assegurances;valor afegit brut (milions €);;308,2
2018;Penedès;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2073
2018;Penedès;administració pública i altres serveis;valor afegit brut (milions €);;1703,7
2018;Penedès;total;valor afegit brut (milions €);;6358
2018;Catalunya;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;30877,3
2018;Catalunya;transport, informació i comunicacions;valor afegit brut (milions €);;18909,1
2018;Catalunya;hostaleria;valor afegit brut (milions €);;14460,4
2018;Catalunya;activitats financeres i d'assegurances;valor afegit brut (milions €);;7569,3
2018;Catalunya;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;48753,2
2018;Catalunya;administració pública i altres serveis;valor afegit brut (milions €);;44173,1
2018;Catalunya;total;valor afegit brut (milions €);;164742,4
2019;Metropolità;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;22498,7
2019;Metropolità;transport, informació i comunicacions;valor afegit brut (milions €);;16119,4
2019;Metropolità;hostaleria;valor afegit brut (milions €);;10183
2019;Metropolità;activitats financeres i d'assegurances;valor afegit brut (milions €);;5505
2019;Metropolità;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;39954
2019;Metropolità;administració pública i altres serveis;valor afegit brut (milions €);;31537,9
2019;Metropolità;total;valor afegit brut (milions €);;125798,1
2019;Comarques Gironines;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;2653,6
2019;Comarques Gironines;transport, informació i comunicacions;valor afegit brut (milions €);;896,2
2019;Comarques Gironines;hostaleria;valor afegit brut (milions €);;1897,9
2019;Comarques Gironines;activitats financeres i d'assegurances;valor afegit brut (milions €);;468,7
2019;Comarques Gironines;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;3716,6
2019;Comarques Gironines;administració pública i altres serveis;valor afegit brut (milions €);;3829,4
2019;Comarques Gironines;total;valor afegit brut (milions €);;13462,5
2019;Camp de Tarragona;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1506,6
2019;Camp de Tarragona;transport, informació i comunicacions;valor afegit brut (milions €);;909,6
2019;Camp de Tarragona;hostaleria;valor afegit brut (milions €);;1196,8
2019;Camp de Tarragona;activitats financeres i d'assegurances;valor afegit brut (milions €);;291
2019;Camp de Tarragona;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2440,6
2019;Camp de Tarragona;administració pública i altres serveis;valor afegit brut (milions €);;3174,2
2019;Camp de Tarragona;total;valor afegit brut (milions €);;9518,8
2019;Terres de l'Ebre;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;500,8
2019;Terres de l'Ebre;transport, informació i comunicacions;valor afegit brut (milions €);;188,3
2019;Terres de l'Ebre;hostaleria;valor afegit brut (milions €);;222,4
2019;Terres de l'Ebre;activitats financeres i d'assegurances;valor afegit brut (milions €);;118,2
2019;Terres de l'Ebre;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;553,8
2019;Terres de l'Ebre;administració pública i altres serveis;valor afegit brut (milions €);;817,2
2019;Terres de l'Ebre;total;valor afegit brut (milions €);;2400,7
2019;Ponent;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1432
2019;Ponent;transport, informació i comunicacions;valor afegit brut (milions €);;636,1
2019;Ponent;hostaleria;valor afegit brut (milions €);;478,7
2019;Ponent;activitats financeres i d'assegurances;valor afegit brut (milions €);;233
2019;Ponent;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1404,2
2019;Ponent;administració pública i altres serveis;valor afegit brut (milions €);;2064,6
2019;Ponent;total;valor afegit brut (milions €);;6248,5
2019;Comarques Centrals;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1270,6
2019;Comarques Centrals;transport, informació i comunicacions;valor afegit brut (milions €);;527,9
2019;Comarques Centrals;hostaleria;valor afegit brut (milions €);;461,5
2019;Comarques Centrals;activitats financeres i d'assegurances;valor afegit brut (milions €);;367,2
2019;Comarques Centrals;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1688,6
2019;Comarques Centrals;administració pública i altres serveis;valor afegit brut (milions €);;1773,6
2019;Comarques Centrals;total;valor afegit brut (milions €);;6089,4
2019;Alt Pirineu i Aran;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;184
2019;Alt Pirineu i Aran;transport, informació i comunicacions;valor afegit brut (milions €);;75,8
2019;Alt Pirineu i Aran;hostaleria;valor afegit brut (milions €);;292,2
2019;Alt Pirineu i Aran;activitats financeres i d'assegurances;valor afegit brut (milions €);;52,9
2019;Alt Pirineu i Aran;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;333,7
2019;Alt Pirineu i Aran;administració pública i altres serveis;valor afegit brut (milions €);;406,7
2019;Alt Pirineu i Aran;total;valor afegit brut (milions €);;1345,2
2019;Penedès;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1260,6
2019;Penedès;transport, informació i comunicacions;valor afegit brut (milions €);;514
2019;Penedès;hostaleria;valor afegit brut (milions €);;734,7
2019;Penedès;activitats financeres i d'assegurances;valor afegit brut (milions €);;331,3
2019;Penedès;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2275,4
2019;Penedès;administració pública i altres serveis;valor afegit brut (milions €);;1724,4
2019;Penedès;total;valor afegit brut (milions €);;6840,5
2019;Catalunya;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;31307
2019;Catalunya;transport, informació i comunicacions;valor afegit brut (milions €);;19867,3
2019;Catalunya;hostaleria;valor afegit brut (milions €);;15467,3
2019;Catalunya;activitats financeres i d'assegurances;valor afegit brut (milions €);;7367,2
2019;Catalunya;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;52366,8
2019;Catalunya;administració pública i altres serveis;valor afegit brut (milions €);;45328
2019;Catalunya;total;valor afegit brut (milions €);;171703,7
2020;Metropolità;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;20154,2
2020;Metropolità;transport, informació i comunicacions;valor afegit brut (milions €);;13760
2020;Metropolità;hostaleria;valor afegit brut (milions €);;4419,5
2020;Metropolità;activitats financeres i d'assegurances;valor afegit brut (milions €);;5828,8
2020;Metropolità;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;37379,4
2020;Metropolità;administració pública i altres serveis;valor afegit brut (milions €);;30162,4
2020;Metropolità;total;valor afegit brut (milions €);;111704,2
2020;Comarques Gironines;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;2385,8
2020;Comarques Gironines;transport, informació i comunicacions;valor afegit brut (milions €);;1016,7
2020;Comarques Gironines;hostaleria;valor afegit brut (milions €);;924,6
2020;Comarques Gironines;activitats financeres i d'assegurances;valor afegit brut (milions €);;478,5
2020;Comarques Gironines;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;3524,7
2020;Comarques Gironines;administració pública i altres serveis;valor afegit brut (milions €);;3678,1
2020;Comarques Gironines;total;valor afegit brut (milions €);;12008,3
2020;Camp de Tarragona;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1416
2020;Camp de Tarragona;transport, informació i comunicacions;valor afegit brut (milions €);;813,9
2020;Camp de Tarragona;hostaleria;valor afegit brut (milions €);;547,6
2020;Camp de Tarragona;activitats financeres i d'assegurances;valor afegit brut (milions €);;288,5
2020;Camp de Tarragona;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2323
2020;Camp de Tarragona;administració pública i altres serveis;valor afegit brut (milions €);;2870,5
2020;Camp de Tarragona;total;valor afegit brut (milions €);;8259,6
2020;Terres de l'Ebre;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;465,5
2020;Terres de l'Ebre;transport, informació i comunicacions;valor afegit brut (milions €);;143,8
2020;Terres de l'Ebre;hostaleria;valor afegit brut (milions €);;126,1
2020;Terres de l'Ebre;activitats financeres i d'assegurances;valor afegit brut (milions €);;108,1
2020;Terres de l'Ebre;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;529,6
2020;Terres de l'Ebre;administració pública i altres serveis;valor afegit brut (milions €);;825,8
2020;Terres de l'Ebre;total;valor afegit brut (milions €);;2198,9
2020;Ponent;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1320,2
2020;Ponent;transport, informació i comunicacions;valor afegit brut (milions €);;588,8
2020;Ponent;hostaleria;valor afegit brut (milions €);;243,4
2020;Ponent;activitats financeres i d'assegurances;valor afegit brut (milions €);;235,9
2020;Ponent;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1326,6
2020;Ponent;administració pública i altres serveis;valor afegit brut (milions €);;2042,1
2020;Ponent;total;valor afegit brut (milions €);;5757,1
2020;Comarques Centrals;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1196,3
2020;Comarques Centrals;transport, informació i comunicacions;valor afegit brut (milions €);;438,3
2020;Comarques Centrals;hostaleria;valor afegit brut (milions €);;273,9
2020;Comarques Centrals;activitats financeres i d'assegurances;valor afegit brut (milions €);;381,3
2020;Comarques Centrals;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1608,2
2020;Comarques Centrals;administració pública i altres serveis;valor afegit brut (milions €);;1829,3
2020;Comarques Centrals;total;valor afegit brut (milions €);;5727,2
2020;Alt Pirineu i Aran;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;162
2020;Alt Pirineu i Aran;transport, informació i comunicacions;valor afegit brut (milions €);;68,3
2020;Alt Pirineu i Aran;hostaleria;valor afegit brut (milions €);;165,4
2020;Alt Pirineu i Aran;activitats financeres i d'assegurances;valor afegit brut (milions €);;56,2
2020;Alt Pirineu i Aran;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;318,8
2020;Alt Pirineu i Aran;administració pública i altres serveis;valor afegit brut (milions €);;405,8
2020;Alt Pirineu i Aran;total;valor afegit brut (milions €);;1176,6
2020;Penedès;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1159,1
2020;Penedès;transport, informació i comunicacions;valor afegit brut (milions €);;449
2020;Penedès;hostaleria;valor afegit brut (milions €);;366
2020;Penedès;activitats financeres i d'assegurances;valor afegit brut (milions €);;344,5
2020;Penedès;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2120,8
2020;Penedès;administració pública i altres serveis;valor afegit brut (milions €);;1760,4
2020;Penedès;total;valor afegit brut (milions €);;6199,9
2020;Catalunya;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;28259,1
2020;Catalunya;transport, informació i comunicacions;valor afegit brut (milions €);;17278,8
2020;Catalunya;hostaleria;valor afegit brut (milions €);;7066,5
2020;Catalunya;activitats financeres i d'assegurances;valor afegit brut (milions €);;7721,9
2020;Catalunya;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;49131,1
2020;Catalunya;administració pública i altres serveis;valor afegit brut (milions €);;43574,5
2020;Catalunya;total;valor afegit brut (milions €);;153031,9
2021;Metropolità;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;22919,3
2021;Metropolità;transport, informació i comunicacions;valor afegit brut (milions €);p;14843
2021;Metropolità;hostaleria;valor afegit brut (milions €);p;6255,8
2021;Metropolità;activitats financeres i d'assegurances;valor afegit brut (milions €);p;5961,1
2021;Metropolità;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;38900,1
2021;Metropolità;administració pública i altres serveis;valor afegit brut (milions €);p;31194,4
2021;Metropolità;total;valor afegit brut (milions €);p;120073,9
2021;Comarques Gironines;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;2804,3
2021;Comarques Gironines;transport, informació i comunicacions;valor afegit brut (milions €);p;908,5
2021;Comarques Gironines;hostaleria;valor afegit brut (milions €);p;1493,3
2021;Comarques Gironines;activitats financeres i d'assegurances;valor afegit brut (milions €);p;475
2021;Comarques Gironines;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;3748,7
2021;Comarques Gironines;administració pública i altres serveis;valor afegit brut (milions €);p;3924,2
2021;Comarques Gironines;total;valor afegit brut (milions €);p;13353,9
2021;Camp de Tarragona;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;1630,5
2021;Camp de Tarragona;transport, informació i comunicacions;valor afegit brut (milions €);p;793,7
2021;Camp de Tarragona;hostaleria;valor afegit brut (milions €);p;856,1
2021;Camp de Tarragona;activitats financeres i d'assegurances;valor afegit brut (milions €);p;289,5
2021;Camp de Tarragona;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);p;2485,3
2021;Camp de Tarragona;administració pública i altres serveis;valor afegit brut (milions €);p;3096,1
2021;Camp de Tarragona;total;valor afegit brut (milions €);p;9151,2
2021;Terres de l'Ebre;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);p;556,1
