"Any","Codi comarca","Comarca","Població","Domèstic xarxa","Activitats econòmiques i fonts pròpies","Total","Consum domèstic per càpita"
"2023","19","GARROTXA, LA","61.365","2.424.393","3.897.146","6.321.539","108,24"
"2023","20","GIRONÈS, EL","201.884","7.158.440","6.576.946","13.735.386","97,15"
"2023","21","MARESME, EL","467.914","20.212.311","8.692.637","28.904.948","118,35"
"2023","22","MONTSIÀ, EL","70.023","2.734.153","2.094.619","4.828.772","106,98"
"2023","23","NOGUERA, LA","39.650","1.727.125","1.580.697","3.307.822","119,34"
"2023","24","OSONA","161.988","5.936.076","7.773.601","13.709.677","100,4"
"2023","25","PALLARS JUSSÀ, EL","13.370","816.307","251.175","1.067.482","167,27"
"2023","26","PALLARS SOBIRÀ, EL","7.248","579.310","597.753","1.177.063","218,98"
"2023","27","PLA D'URGELL, EL","37.456","1.560.682","3.583.175","5.143.857","114,16"
"2023","28","PLA DE L'ESTANY, EL","33.213","1.377.652","1.485.171","2.862.823","113,64"
"2023","29","PRIORAT, EL","9.315","318.490","132.137","450.627","93,67"
"2023","30","RIBERA D'EBRE, LA","22.028","946.700","1.690.081","2.636.781","117,75"
"2023","31","RIPOLLÈS, EL","25.692","1.088.068","1.210.353","2.298.421","116,03"
"2023","32","SEGARRA, LA","23.931","844.358","2.726.847","3.571.205","96,67"
"2023","33","SEGRIÀ, EL","215.219","9.507.871","8.125.913","17.633.784","121,03"
"2023","34","SELVA, LA","183.055","8.781.301","9.491.492","18.272.793","131,43"
"2023","35","SOLSONÈS, EL","13.677","537.502","708.782","1.246.284","107,67"
"2023","36","TARRAGONÈS, EL","270.038","13.154.920","42.299.425","55.454.345","133,47"
"2023","37","TERRA ALTA","11.472","386.851","227.648","614.499","92,39"
"2023","38","URGELL, L'","38.013","1.490.954","1.226.330","2.717.284","107,46"
"2023","39","VAL D'ARAN, LA","10.500","1.404.799","1.081.462","2.486.261","366,55"
"2023","40","VALLÈS OCCIDENTAL, EL","949.785","36.008.129","20.567.662","56.575.791","103,87"
"2023","41","VALLÈS ORIENTAL, EL","422.777","16.346.948","12.488.154","28.835.102","105,93"
"2023","42","Moianès","14.699","577.699","620.457","1.198.156","107,68"
"2023","43","LLUÇANÈS, EL","5.681","185.753","400.594","586.347","89,58"
"2022","1","ALT CAMP, L'","45.540","1.685.688","3.040.038","4.725.726","101,41"
"2022","2","ALT EMPORDÀ, L'","144.926","8.583.560","4.831.755","13.415.315","162,27"
"2022","3","ALT PENEDÈS, L'","110.929","4.533.398","3.262.053","7.795.451","111,97"
"2022","4","ALT URGELL, L'","20.482","1.016.456","1.467.236","2.483.692","135,96"
"2022","5","ALTA RIBAGORÇA, L'","3.958","469.071","271.619","740.690","324,69"
"2022","6","ANOIA, L'","125.065","4.977.903","5.752.687","10.730.590","109,05"
"2022","7","BAGES, EL","180.873","7.245.892","6.808.136","14.054.028","109,76"
"2022","8","BAIX CAMP, EL","197.525","9.839.320","5.717.291","15.556.611","136,47"
"2022","9","BAIX EBRE, EL","79.636","3.368.526","4.459.442","7.827.968","115,89"
"2022","10","BAIX EMPORDÀ, EL","138.517","11.071.935","6.503.559","17.575.494","218,99"
"2022","11","BAIX LLOBREGAT, EL","833.540","32.609.245","25.025.849","57.635.094","107,18"
"2022","12","BAIX PENEDÈS, EL","112.460","6.647.116","2.234.536","8.881.652","161,94"
"2022","13","BARCELONÈS, EL","2.280.042","85.597.398","41.264.991","126.862.389","102,85"
"2022","14","BERGUEDÀ, EL","40.279","1.433.782","1.140.795","2.574.577","97,52"
"2022","15","CERDANYA, LA","19.443","1.451.755","2.110.072","3.561.827","204,57"
"2022","16","CONCA DE BARBERÀ, LA","20.176","711.946","695.755","1.407.701","96,68"
"2022","17","GARRAF, EL","156.794","7.822.472","2.757.978","10.580.450","136,69"
"2022","18","GARRIGUES, LES","19.011","689.034","946.087","1.635.121","99,3"
"2022","19","GARROTXA, LA","59.750","2.491.915","4.213.288","6.705.203","114,26"
"2022","20","GIRONÈS, EL","198.582","7.673.150","7.122.798","14.795.948","105,86"
"2022","21","MARESME, EL","462.213","21.166.971","8.985.054","30.152.025","125,47"
"2022","22","MONTSIÀ, EL","68.744","2.729.045","1.989.461","4.718.506","108,76"
"2022","23","NOGUERA, LA","39.297","1.823.230","1.727.509","3.550.739","127,11"
"2022","24","OSONA","165.229","6.516.741","8.334.893","14.851.634","108,06"
"2022","25","PALLARS JUSSÀ, EL","13.199","824.651","248.909","1.073.560","171,17"
"2022","26","PALLARS SOBIRÀ, EL","7.181","557.519","561.193","1.118.712","212,71"
"2022","27","PLA D'URGELL, EL","37.045","1.626.134","4.116.660","5.742.794","120,26"
"2022","28","PLA DE L'ESTANY, EL","32.941","1.409.299","1.666.188","3.075.487","117,21"
"2022","29","PRIORAT, EL","9.238","331.682","139.442","471.124","98,37"
"2022","30","RIBERA D'EBRE, LA","21.920","915.657","2.471.582","3.387.239","114,45"
"2022","31","RIPOLLÈS, EL","25.510","1.093.604","1.311.974","2.405.578","117,45"
"2022","32","SEGARRA, LA","23.601","922.385","2.764.766","3.687.151","107,08"
"2022","33","SEGRIÀ, EL","212.388","9.653.328","8.669.391","18.322.719","124,52"
"2022","34","SELVA, LA","177.542","9.089.937","9.805.519","18.895.456","140,27"
